sample_id,I1_factor,I2_factor,I3_factor,pattern,n_damaged_members,severity,Fh_total,q_beam,maxUx,maxUy,maxUmag,maxMoment,M_colL_bottom,M_colL_top,M_beam_left,M_beam_right,M_colR_bottom,M_colR_top
44,0.985,1,1,left_column_only,1,healthy,20000,-15000,0.00132059407829374,4.79412207872367e-05,0.00132106825003667,430286.816548689,22258.4111607316,27051.3230061239,-27051.3230061239,-1184.17053644125,9506.09529670334,1184.17053644123
45,0.985,1,1,left_column_only,1,healthy,20000,-20000,0.00132352070024859,6.18266678689328e-05,0.00132443799414401,559595.474344338,24423.9616250957,31375.4689341401,-31375.4689341401,3155.46352394252,7356.03296470669,-3155.46352394253
46,0.985,1,1,left_column_only,1,healthy,25000,-10000,0.00164562100944619,3.56269935910777e-05,0.00164574167301939,311568.369543476,24033.3006382771,26246.8983836265,-26246.8983836265,-9074.57277622312,15645.2282018733,9074.57277622313
47,0.985,1,1,left_column_only,1,healthy,25000,-15000,0.00164854763140104,4.95124406727738e-05,0.00164889452233256,440877.027339125,26198.8511026413,30571.0443116427,-30571.0443116427,-4734.93871583937,13495.1658698767,4734.93871583937
48,0.985,1,1,left_column_only,1,healthy,25000,-20000,0.00165147425335588,6.33978877544699e-05,0.0016521633578979,570185.685134773,28364.4015670055,34895.1902396589,-34895.1902396589,-395.304655455613,11345.10353788,395.304655455599
49,0.98,1,1,left_column_only,1,healthy,10000,-10000,0.000664353352530213,3.0911467901217e-05,0.000664810279759908,279761.7507975,12193.2791582185,15660.1452420234,-15660.1452420234,1558.53968654708,3705.1152863054,-1558.53968654707
50,0.98,1,1,left_column_only,1,healthy,10000,-15000,0.000667861734711751,4.47957621916477e-05,0.000668972675885712,409056.183937668,14358.1655347003,19975.2540752528,-19975.2540752528,5894.32421283817,1560.90460288524,-5894.32421283816
51,0.98,1,1,left_column_only,1,healthy,10000,-20000,0.000671370116893289,5.86800564820784e-05,0.000673414322202031,538350.617077835,16523.0519111821,24290.3629084823,-24290.3629084823,10230.1087391293,-583.306080534925,-10230.1087391293
52,0.98,1,1,left_column_only,1,healthy,15000,-10000,0.000993021646613781,3.24829075613947e-05,0.000993289654496113,290348.193056082,16125.0323608459,19175.1090298056,-19175.1090298056,-1997.97499647049,7701.88361287826,1997.97499647049
53,0.98,1,1,left_column_only,1,healthy,15000,-15000,0.000996530028795319,4.63672018518254e-05,0.000997215419639863,419642.62619625,18289.9187373277,23490.2178630351,-23490.2178630351,2337.8095298206,5557.6729294581,-2337.8095298206
54,0.98,1,1,left_column_only,1,healthy,15000,-20000,0.00100003841097686,6.02514961422562e-05,0.00100133087631606,548937.059336417,20454.8051138095,27805.3266962645,-27805.3266962645,6673.59405611171,3413.46224603793,-6673.5940561117
55,0.98,1,1,left_column_only,1,healthy,20000,-10000,0.00132168994069735,3.40543472215724e-05,0.0013218648196016,300934.635314664,20056.7855634733,22690.0728175879,-22690.0728175879,-5554.48967948804,11698.6519394511,5554.48967948804
56,0.98,1,1,left_column_only,1,healthy,20000,-15000,0.00132519832287889,4.79386415120032e-05,0.00132567091661926,430229.068454832,22221.6719399551,27005.1816508173,-27005.1816508173,-1218.70515319696,9554.44125603096,1218.70515319695
57,0.98,1,1,left_column_only,1,healthy,20000,-20000,0.00132870670506043,6.18229358024339e-05,0.00132962055951982,559523.501594999,24386.5583164369,31320.2904840468,-31320.2904840467,3117.07937309415,7410.2305726108,-3117.07937309414
58,0.98,1,1,left_column_only,1,healthy,25000,-10000,0.00165035823478092,3.56257868817502e-05,0.00165047856659472,311521.077573246,23988.5387661007,26205.0366053701,-26205.0366053701,-9111.0043625056,15695.420266024,9111.0043625056
59,0.98,1,1,left_column_only,1,healthy,25000,-15000,0.00165386661696246,4.95100811721809e-05,0.00165421244073716,440815.510713414,26153.4251425825,30520.1454385995,-30520.1454385995,-4775.2198362145,13551.2095826038,4775.21983621451
60,0.98,1,1,left_column_only,1,healthy,25000,-20000,0.00165737499914399,6.33943754626116e-05,0.00165806175236283,570109.943853581,28318.3115190643,34835.254271829,-34835.254271829,-439.435309923399,11406.9988991837,439.435309923418
61,1,1,1,none,0,healthy,10000,-10000,0.000654087357624389,3.09188759056833e-05,0.000654551172474869,279904.393938193,12267.2241539821,15769.4523626179,-15769.4523626179,1634.51078704313,3597.83427044306,-1634.51078704313
62,1,1,1,none,0,healthy,10000,-15000,0.000655294457301852,4.48077647945722e-05,0.00065642596322949,409255.384725608,14434.5716248668,20120.4431500332,-20120.4431500332,5985.50157445839,1430.4867995583,-5985.50157445839
63,1,1,1,none,0,healthy,10000,-20000,0.000656501556979315,5.86966536834611e-05,0.00065859059336108,538606.375513023,16601.9190957516,24471.4339374484,-24471.4339374484,10336.4923618737,-736.860671326453,-10336.4923618737
64,1,1,1,none,0,healthy,15000,-10000,0.00097992393675912,3.2489424969636e-05,0.00098019537247107,290505.600119874,16233.4887600884,19303.1877565116,-19303.1877565116,-1899.22460685057,7564.09887654934,1899.22460685057
65,1,1,1,none,0,healthy,15000,-15000,0.000981131036436583,4.63783138585249e-05,0.000981826758712304,419856.590907289,18400.8362309731,23654.1785439269,-23654.1785439269,2451.76618056469,5396.75140566459,-2451.7661805647
66,1,1,1,none,0,healthy,15000,-20000,0.000982338136114046,6.02672027474138e-05,0.000983653046903081,549207.581694704,20568.1837018579,28005.1693313421,-28005.1693313421,6802.75696797996,3229.40393477983,-6802.75696797996
67,1,1,1,none,0,healthy,20000,-10000,0.00130576051589385,3.40599740335888e-05,0.0013059374352902,301106.806301555,20199.7533661947,22836.9231504053,-22836.9231504053,-5432.96000074426,11530.3634826556,5432.96000074426
68,1,1,1,none,0,healthy,20000,-15000,0.00130696761557131,4.79488629224777e-05,0.00130744652238569,430457.79708897,22367.1008370794,27187.9139378206,-27187.9139378206,-1081.969213329,9363.01601177087,1081.969213329
69,1,1,1,none,0,healthy,20000,-20000,0.00130817471524878,6.18377518113666e-05,0.00130910234494974,559808.787876385,24534.4483079642,31538.9047252358,-31538.9047252358,3269.02157408626,7195.66854088612,-3269.02157408626
70,1,1,1,none,0,healthy,25000,-10000,0.00163159709502858,3.56305230975416e-05,0.00163171875255026,311708.012483236,24166.0179723009,26370.658544299,-26370.658544299,-8966.69539463797,15496.6280887619,8966.69539463796
71,1,1,1,none,0,healthy,25000,-15000,0.00163280419470605,4.95194119864304e-05,0.00163315428527941,441059.003270651,26333.3654431857,30721.6493317143,-30721.6493317143,-4615.70460722269,13329.2806178772,4615.70460722269
72,1,1,1,none,0,healthy,25000,-20000,0.00163401129438351,6.34083008753193e-05,0.00163470745648182,570409.994058067,28500.7129140704,35072.6401191295,-35072.6401191295,-264.713819807424,11161.9331469924,264.713819807435
73,1,0.995,1,beam_only,1,healthy,10000,-10000,0.000654540503907604,3.09179837121673e-05,0.00065500403143947,279923.781645711,12281.889011973,15792.8549409579,-15792.8549409579,1661.92823620485,3587.1842832739,-1661.92823620486
74,1,0.995,1,beam_only,1,healthy,10000,-15000,0.00065575112834769,4.48068726010562e-05,0.000656881899968194,409287.477440002,14455.5651941477,20156.5507352486,-20156.5507352486,6025.62403049555,1413.50810109913,-6025.62403049555
75,1,0.995,1,beam_only,1,healthy,10000,-20000,0.000656961752787776,5.86957614899451e-05,0.000659049401412289,538651.173234292,16629.2413763225,24520.2465295393,-24520.2465295393,10389.3198247863,-760.168081075633,-10389.3198247862
76,1,0.995,1,beam_only,1,healthy,15000,-10000,0.00098060013142132,3.24880866793621e-05,0.000980871411482598,290521.976674276,16249.1573357847,19325.5866171462,-19325.5866171462,-1870.80343998342,7554.45260708561,1870.80343998341
77,1,0.995,1,beam_only,1,healthy,15000,-15000,0.000981810755861406,4.6376975568251e-05,0.000982506047159205,419885.672468567,18422.8335179594,23689.2824114369,-23689.2824114369,2492.89235430729,5380.77642491085,-2492.89235430728
78,1,0.995,1,beam_only,1,healthy,15000,-20000,0.000983021380301492,6.02658644571399e-05,0.00098433544751632,549249.368262857,20596.5097001342,28052.9782057276,-28052.9782057276,6856.58814859797,3207.10024273608,-6856.58814859798
79,1,0.995,1,beam_only,1,healthy,20000,-10000,0.00130665975893503,3.40581896465569e-05,0.00130683658594378,301120.171702841,20216.4256595964,22858.3182933345,-22858.3182933345,-5403.53511617167,11521.7209308973,5403.53511617168
80,1,0.995,1,beam_only,1,healthy,20000,-15000,0.00130787038337512,4.79470785354458e-05,0.00130834900800146,430483.867497131,22390.1018417712,27222.0140876252,-27222.0140876251,-1039.83932188097,9348.04474872256,1039.83932188098
81,1,0.995,1,beam_only,1,healthy,20000,-20000,0.00130908100781521,6.18359674243347e-05,0.00131000806287894,559847.563291422,24563.7780239459,31585.7098819158,-31585.7098819159,3323.85647240971,7174.36856654779,-3323.85647240971
82,1,0.995,1,beam_only,1,healthy,25000,-10000,0.00163271938644875,3.56282926137517e-05,0.00163284098757164,311718.366731405,24183.6939834081,26391.0499695227,-26391.0499695227,-8936.26679235994,15488.989254709,8936.26679235994
83,1,0.995,1,beam_only,1,healthy,25000,-15000,0.00163393001088884,4.95171815026406e-05,0.00163427990644437,441082.062525696,26357.3701655829,30754.7457638134,-30754.7457638134,-4572.57099806925,13315.3130725343,4572.57099806925
84,1,0.995,1,beam_only,1,healthy,25000,-20000,0.00163514063532892,6.34060703915295e-05,0.00163583638185912,570445.758319987,28531.0463477576,35118.4415581041,-35118.4415581041,-208.875203778553,11141.6368903595,208.875203778556
85,1,0.99,1,beam_only,1,healthy,10000,-10000,0.000654997940312534,3.09170830209883e-05,0.00065546117821157,279943.260824401,12296.6471261961,15816.3872299538,-15816.3872299538,1689.51363550644,3576.47927935639,-1689.51363550644
86,1,0.99,1,beam_only,1,healthy,10000,-15000,0.000656212110160326,4.48059719098772e-05,0.000657342141581781,409319.736040766,14476.6890879061,20192.8624463189,-20192.8624463189,6065.98885187152,1396.43731764645,-6065.98885187151
87,1,0.99,1,beam_only,1,healthy,10000,-20000,0.000657426280008118,5.86948607987661e-05,0.000659512529784021,538696.211257131,16656.731049616,24569.337662684,-24569.337662684,10442.4640682366,-783.604644063489,-10442.4640682366
88,1,0.99,1,beam_only,1,healthy,15000,-10000,0.00098128274062101,3.24867356425936e-05,0.000981553863775625,290538.416020237,16264.9287275843,19348.1056285657,-19348.1056285657,-1842.20476310541,7544.76088074453,1842.20476310541
89,1,0.99,1,beam_only,1,healthy,15000,-15000,0.000982496910468802,4.63756245314825e-05,0.000983191767317355,419914.891236602,18444.9706892942,23724.5808449307,-23724.5808449307,2534.27045325967,5364.71891903458,-2534.27045325965
90,1,0.99,1,beam_only,1,healthy,15000,-20000,0.000983711080316594,6.02645134203714e-05,0.000985024297179701,549291.366452967,20625.0126510042,28101.0560612958,-28101.0560612958,6910.74566962473,3184.67695732464,-6910.74566962472
91,1,0.99,1,beam_only,1,healthy,20000,-10000,0.00130756754092949,3.40563882641988e-05,0.00130774427480552,301133.571216072,20233.2103289724,22879.8240271775,-22879.8240271775,-5373.92316171725,11513.0424821327,5373.92316171726
92,1,0.99,1,beam_only,1,healthy,20000,-15000,0.00130878171077728,4.79452771530877e-05,0.0013092600509392,430510.046432437,22413.2522906824,27256.2992435426,-27256.2992435426,-997.447945352174,9333.00052042272,997.447945352193
93,1,0.99,1,beam_only,1,healthy,20000,-20000,0.00130999588062507,6.18341660419766e-05,0.00131092235642314,559886.521648802,24593.2942523923,31632.7744599077,-31632.7744599077,3379.02727101288,7152.95855871278,-3379.02727101287
94,1,0.99,1,beam_only,1,healthy,25000,-10000,0.00163385234123796,3.56260408858041e-05,0.0016339738855085,311728.726411908,24201.4919303605,26411.5424257894,-26411.5424257894,-8905.64156032909,15481.3240835208,8905.6415603291
95,1,0.99,1,beam_only,1,healthy,25000,-15000,0.00163506651108575,4.9514929774693e-05,0.00163541621004972,441105.201628273,26381.5338920705,30788.0176421544,-30788.0176421544,-4529.16634396403,13301.2821218108,4529.16634396403
96,1,0.99,1,beam_only,1,healthy,25000,-20000,0.00163628068093354,6.34038186635819e-05,0.00163697600854411,570481.676844638,28561.5758537804,35164.4928585195,-35164.4928585195,-152.691127598962,11121.2401601009,152.69112759897
97,1,0.985,1,beam_only,1,healthy,10000,-10000,0.000655459728195221,3.09161737101618e-05,0.000655922674119043,279962.831962293,12311.4994243731,15840.0502665654,-15840.0502665654,1717.26857083758,3565.71887989895,-1717.26857083757
